opportunity_id,title,organization,category,domain,description,min_cgpa,max_cgpa,eligible_years,eligible_branches,eligible_degrees,age_min,age_max,nationality,gender_requirement,required_skills,preferred_skills,technical_skills,soft_skills,required_experience,certifications_required,projects_required,location,city,work_mode,start_date,end_date,deadline,duration,stipend,funding_amount,benefits,certificate,mentorship,placement_opportunity,career_impact,application_url,contact_email,last_verified,status
51,Cybersecurity Opportunity 51,TechSampleOrg51,Government Fellowship,Cybersecurity,Government Fellowship in Cybersecurity for student development,6.0,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,India,Any,Git|Algorithms,Artificial Intelligence|Pandas,Git|Algorithms,Communication|Teamwork|Problem Solving,None,NA,Yes,India,Bengaluru,Online,2026-10-31,2027-01-20,2026-10-05,4 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,High,https://sample-opportunities.example/opportunity/51,contact51@sampleorg.example,2026-09-04,Open
52,Cloud Computing Opportunity 52,TechSampleOrg52,Government Program,Cloud Computing,Government Program in Cloud Computing for student development,7.0,NA,1,All,UG,18,NA,International,Any,GitHub|Machine Learning,Data Science|NumPy,GitHub|Machine Learning,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,No,Online,Delhi,Remote,2026-11-01,2027-01-22,2026-10-06,5 Months,NA,NA,Certificate|Mentorship,Yes,Yes,No,Medium,https://sample-opportunities.example/opportunity/52,contact52@sampleorg.example,2026-09-04,Upcoming
53,DevOps Opportunity 53,TechSampleOrg53,Government Research Program,DevOps,Government Research Program in DevOps for student development,7.5,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,Any,Any,DSA|Deep Learning,Statistics|TensorFlow,DSA|Deep Learning,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,Yes,International,Mumbai,On-site,2026-11-02,2027-01-24,2026-10-06,6 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,No,Low,https://sample-opportunities.example/opportunity/53,contact53@sampleorg.example,2026-09-04,Closed
54,Blockchain Opportunity 54,TechSampleOrg54,Government Skill Development Program,Blockchain,Government Skill Development Program in Blockchain for student development,8.0,NA,3|4,All Engineering,BTech|BE,18,NA,India,Any,Algorithms|Artificial Intelligence,Pandas|PyTorch,Algorithms|Artificial Intelligence,Communication|Teamwork|Problem Solving,None,NA,No,India,Hyderabad,Hybrid,2026-11-03,2027-01-26,2026-10-07,7 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,High,https://sample-opportunities.example/opportunity/54,contact54@sampleorg.example,2026-09-04,Open
55,Robotics Opportunity 55,TechSampleOrg55,Government Innovation Program,Robotics,Government Innovation Program in Robotics for student development,NA,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,International,Any,Machine Learning|Data Science,NumPy|NLP,Machine Learning|Data Science,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,Yes,Online,NA,Online,2026-11-04,2027-01-28,2026-10-07,8 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,Medium,https://sample-opportunities.example/opportunity/55,contact55@sampleorg.example,2026-09-04,Upcoming
56,Internet of Things Opportunity 56,TechSampleOrg56,Government Grant,Internet of Things,Government Grant in Internet of Things for student development,6.0,NA,1,All,UG,18,NA,Any,Any,Deep Learning|Statistics,TensorFlow|Computer Vision,Deep Learning|Statistics,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,No,International,Bengaluru,Remote,2026-11-05,2027-01-30,2026-10-08,9 Months,NA,NA,Certificate|Mentorship,Yes,Yes,No,Low,https://sample-opportunities.example/opportunity/56,contact56@sampleorg.example,2026-09-04,Closed
57,Computer Vision Opportunity 57,TechSampleOrg57,Public Sector Internship,Computer Vision,Public Sector Internship in Computer Vision for student development,7.0,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,India,Any,Artificial Intelligence|Pandas,PyTorch|Cybersecurity,Artificial Intelligence|Pandas,Communication|Teamwork|Problem Solving,None,NA,Yes,India,Delhi,On-site,2026-11-06,2027-02-01,2026-10-08,10 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,Yes,High,https://sample-opportunities.example/opportunity/57,contact57@sampleorg.example,2026-09-04,Open
58,Natural Language Processing Opportunity 58,TechSampleOrg58,Private Internship,Natural Language Processing,Private Internship in Natural Language Processing for student development,7.5,NA,3|4,All Engineering,BTech|BE,18,NA,International,Any,Data Science|NumPy,NLP|Linux,Data Science|NumPy,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,No,Online,Mumbai,Hybrid,2026-11-07,2027-02-03,2026-10-09,11 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,Yes,Medium,https://sample-opportunities.example/opportunity/58,contact58@sampleorg.example,2026-09-04,Upcoming
59,FinTech Opportunity 59,TechSampleOrg59,Technology Internship,FinTech,Technology Internship in FinTech for student development,8.0,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,Any,Any,Statistics|TensorFlow,Computer Vision|Networking,Statistics|TensorFlow,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,Yes,International,Hyderabad,Online,2026-11-08,2027-02-05,2026-10-09,12 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,Yes,Low,https://sample-opportunities.example/opportunity/59,contact59@sampleorg.example,2026-09-04,Closed
60,Healthcare Technology Opportunity 60,TechSampleOrg60,Research Internship,Healthcare Technology,Research Internship in Healthcare Technology for student development,NA,NA,1,All,UG,18,NA,India,Any,Pandas|PyTorch,Cybersecurity|AWS,Pandas|PyTorch,Communication|Teamwork|Problem Solving,None,NA,No,India,NA,Remote,2026-11-09,2027-02-07,2026-10-10,1 Months,NA,NA,Certificate|Mentorship,Yes,Yes,Yes,High,https://sample-opportunities.example/opportunity/60,contact60@sampleorg.example,2026-09-04,Open
61,EdTech Opportunity 61,TechSampleOrg61,Scholarship,EdTech,Scholarship in EdTech for student development,6.0,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,International,Any,NumPy|NLP,Linux|Azure,NumPy|NLP,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,Yes,Online,Bengaluru,On-site,2026-11-10,2027-02-09,2026-10-10,2 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,No,Medium,https://sample-opportunities.example/opportunity/61,contact61@sampleorg.example,2026-09-04,Upcoming
62,UI/UX Opportunity 62,TechSampleOrg62,Fellowship,UI/UX,Fellowship in UI/UX for student development,7.0,NA,3|4,All Engineering,BTech|BE,18,NA,Any,Any,TensorFlow|Computer Vision,Networking|Docker,TensorFlow|Computer Vision,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,No,International,Delhi,Hybrid,2026-11-11,2027-02-11,2026-10-11,3 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,Low,https://sample-opportunities.example/opportunity/62,contact62@sampleorg.example,2026-09-04,Closed
63,Research Opportunity 63,TechSampleOrg63,Hackathon,Research,Hackathon in Research for student development,7.5,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,India,Any,PyTorch|Cybersecurity,AWS|Kubernetes,PyTorch|Cybersecurity,Communication|Teamwork|Problem Solving,None,NA,Yes,India,Mumbai,Online,2026-11-12,2027-02-13,2026-10-11,4 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,High,https://sample-opportunities.example/opportunity/63,contact63@sampleorg.example,2026-09-04,Open
64,Entrepreneurship Opportunity 64,TechSampleOrg64,Competition,Entrepreneurship,Competition in Entrepreneurship for student development,8.0,NA,1,All,UG,18,NA,International,Any,NLP|Linux,Azure|Flutter,NLP|Linux,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,No,Online,Hyderabad,Remote,2026-11-13,2027-02-15,2026-10-12,5 Months,NA,NA,Certificate|Mentorship,Yes,Yes,No,Medium,https://sample-opportunities.example/opportunity/64,contact64@sampleorg.example,2026-09-04,Upcoming
65,Sustainability Opportunity 65,TechSampleOrg65,Grant,Sustainability,Grant in Sustainability for student development,NA,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,Any,Any,Computer Vision|Networking,Docker|Kotlin,Computer Vision|Networking,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,Yes,International,NA,On-site,2026-11-14,2027-02-17,2026-10-12,6 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,No,Low,https://sample-opportunities.example/opportunity/65,contact65@sampleorg.example,2026-09-04,Closed
66,Competitive Programming Opportunity 66,TechSampleOrg66,Exchange Program,Competitive Programming,Exchange Program in Competitive Programming for student development,6.0,NA,3|4,All Engineering,BTech|BE,18,NA,India,Any,Cybersecurity|AWS,Kubernetes|Android,Cybersecurity|AWS,Communication|Teamwork|Problem Solving,None,NA,No,India,Bengaluru,Hybrid,2026-11-15,2027-02-19,2026-10-13,7 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,High,https://sample-opportunities.example/opportunity/66,contact66@sampleorg.example,2026-09-04,Open
67,Artificial Intelligence Opportunity 67,TechSampleOrg67,Certification,Artificial Intelligence,Certification in Artificial Intelligence for student development,7.0,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,International,Any,Linux|Azure,Flutter|React,Linux|Azure,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,Yes,Online,Delhi,Online,2026-11-16,2027-02-21,2026-10-13,8 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,Medium,https://sample-opportunities.example/opportunity/67,contact67@sampleorg.example,2026-09-04,Upcoming
68,Machine Learning Opportunity 68,TechSampleOrg68,Apprenticeship,Machine Learning,Apprenticeship in Machine Learning for student development,7.5,NA,1,All,UG,18,NA,Any,Any,Networking|Docker,Kotlin|Node.js,Networking|Docker,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,No,International,Mumbai,Remote,2026-11-17,2027-02-23,2026-10-14,9 Months,NA,NA,Certificate|Mentorship,Yes,Yes,Yes,Low,https://sample-opportunities.example/opportunity/68,contact68@sampleorg.example,2026-09-04,Closed
69,Data Science Opportunity 69,TechSampleOrg69,Training Program,Data Science,Training Program in Data Science for student development,8.0,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,India,Any,AWS|Kubernetes,Android|MongoDB,AWS|Kubernetes,Communication|Teamwork|Problem Solving,None,NA,Yes,India,Hyderabad,On-site,2026-11-18,2027-02-25,2026-10-14,10 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,No,High,https://sample-opportunities.example/opportunity/69,contact69@sampleorg.example,2026-09-04,Open
70,Web Development Opportunity 70,TechSampleOrg70,Entrepreneurship Program,Web Development,Entrepreneurship Program in Web Development for student development,NA,NA,3|4,All Engineering,BTech|BE,18,NA,International,Any,Azure|Flutter,React|Figma,Azure|Flutter,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,No,Online,NA,Hybrid,2026-11-19,2027-02-27,2026-10-15,11 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,Medium,https://sample-opportunities.example/opportunity/70,contact70@sampleorg.example,2026-09-04,Upcoming
71,Mobile Development Opportunity 71,TechSampleOrg71,Workshop,Mobile Development,Workshop in Mobile Development for student development,6.0,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,Any,Any,Docker|Kotlin,Node.js|IoT,Docker|Kotlin,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,Yes,International,Bengaluru,Online,2026-11-20,2027-03-01,2026-10-15,12 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,Low,https://sample-opportunities.example/opportunity/71,contact71@sampleorg.example,2026-09-04,Closed
72,Software Engineering Opportunity 72,TechSampleOrg72,Open Source Program,Software Engineering,Open Source Program in Software Engineering for student development,7.0,NA,1,All,UG,18,NA,India,Any,Kubernetes|Android,MongoDB|Arduino,Kubernetes|Android,Communication|Teamwork|Problem Solving,None,NA,No,India,Delhi,Remote,2026-11-21,2027-03-03,2026-10-16,1 Months,NA,NA,Certificate|Mentorship,Yes,Yes,No,High,https://sample-opportunities.example/opportunity/72,contact72@sampleorg.example,2026-09-04,Open
73,Cybersecurity Opportunity 73,TechSampleOrg73,Government Internship,Cybersecurity,Government Internship in Cybersecurity for student development,7.5,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,International,Any,Flutter|React,Figma|Blockchain,Flutter|React,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,Yes,Online,Mumbai,On-site,2026-11-22,2027-03-05,2026-10-16,2 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,Yes,Medium,https://sample-opportunities.example/opportunity/73,contact73@sampleorg.example,2026-09-04,Upcoming
74,Cloud Computing Opportunity 74,TechSampleOrg74,Government Scholarship,Cloud Computing,Government Scholarship in Cloud Computing for student development,8.0,NA,3|4,All Engineering,BTech|BE,18,NA,Any,Any,Kotlin|Node.js,IoT|Solidity,Kotlin|Node.js,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,No,International,Hyderabad,Hybrid,2026-11-23,2027-03-07,2026-10-17,3 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,Low,https://sample-opportunities.example/opportunity/74,contact74@sampleorg.example,2026-09-04,Closed
75,DevOps Opportunity 75,TechSampleOrg75,Government Fellowship,DevOps,Government Fellowship in DevOps for student development,NA,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,India,Any,Android|MongoDB,Arduino|Research,Android|MongoDB,Communication|Teamwork|Problem Solving,None,NA,Yes,India,NA,Online,2026-11-24,2027-03-09,2026-10-17,4 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,High,https://sample-opportunities.example/opportunity/75,contact75@sampleorg.example,2026-09-04,Open
76,Blockchain Opportunity 76,TechSampleOrg76,Government Program,Blockchain,Government Program in Blockchain for student development,6.0,NA,1,All,UG,18,NA,International,Any,React|Figma,Blockchain|Data Analysis,React|Figma,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,No,Online,Bengaluru,Remote,2026-11-25,2027-03-11,2026-10-18,5 Months,NA,NA,Certificate|Mentorship,Yes,Yes,No,Medium,https://sample-opportunities.example/opportunity/76,contact76@sampleorg.example,2026-09-04,Upcoming
77,Robotics Opportunity 77,TechSampleOrg77,Government Research Program,Robotics,Government Research Program in Robotics for student development,7.0,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,Any,Any,Node.js|IoT,Solidity|Python,Node.js|IoT,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,Yes,International,Delhi,On-site,2026-11-26,2027-03-13,2026-10-18,6 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,No,Low,https://sample-opportunities.example/opportunity/77,contact77@sampleorg.example,2026-09-04,Closed
78,Internet of Things Opportunity 78,TechSampleOrg78,Government Skill Development Program,Internet of Things,Government Skill Development Program in Internet of Things for student development,7.5,NA,3|4,All Engineering,BTech|BE,18,NA,India,Any,MongoDB|Arduino,Research|C,MongoDB|Arduino,Communication|Teamwork|Problem Solving,None,NA,No,India,Mumbai,Hybrid,2026-11-27,2027-03-15,2026-10-19,7 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,High,https://sample-opportunities.example/opportunity/78,contact78@sampleorg.example,2026-09-04,Open
79,Computer Vision Opportunity 79,TechSampleOrg79,Government Innovation Program,Computer Vision,Government Innovation Program in Computer Vision for student development,8.0,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,International,Any,Figma|Blockchain,Data Analysis|C++,Figma|Blockchain,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,Yes,Online,Hyderabad,Online,2026-11-28,2027-03-17,2026-10-19,8 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,Medium,https://sample-opportunities.example/opportunity/79,contact79@sampleorg.example,2026-09-04,Upcoming
80,Natural Language Processing Opportunity 80,TechSampleOrg80,Government Grant,Natural Language Processing,Government Grant in Natural Language Processing for student development,NA,NA,1,All,UG,18,NA,Any,Any,IoT|Solidity,Python|Java,IoT|Solidity,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,No,International,NA,Remote,2026-11-29,2027-03-19,2026-10-20,9 Months,NA,NA,Certificate|Mentorship,Yes,Yes,No,Low,https://sample-opportunities.example/opportunity/80,contact80@sampleorg.example,2026-09-04,Closed
81,FinTech Opportunity 81,TechSampleOrg81,Public Sector Internship,FinTech,Public Sector Internship in FinTech for student development,6.0,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,India,Any,Arduino|Research,C|JavaScript,Arduino|Research,Communication|Teamwork|Problem Solving,None,NA,Yes,India,Bengaluru,On-site,2026-11-30,2027-03-21,2026-10-20,10 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,Yes,High,https://sample-opportunities.example/opportunity/81,contact81@sampleorg.example,2026-09-04,Open
82,Healthcare Technology Opportunity 82,TechSampleOrg82,Private Internship,Healthcare Technology,Private Internship in Healthcare Technology for student development,7.0,NA,3|4,All Engineering,BTech|BE,18,NA,International,Any,Blockchain|Data Analysis,C++|HTML,Blockchain|Data Analysis,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,No,Online,Delhi,Hybrid,2026-12-01,2027-03-23,2026-10-21,11 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,Yes,Medium,https://sample-opportunities.example/opportunity/82,contact82@sampleorg.example,2026-09-04,Upcoming
83,EdTech Opportunity 83,TechSampleOrg83,Technology Internship,EdTech,Technology Internship in EdTech for student development,7.5,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,Any,Any,Solidity|Python,Java|CSS,Solidity|Python,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,Yes,International,Mumbai,Online,2026-12-02,2027-03-25,2026-10-21,12 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,Yes,Low,https://sample-opportunities.example/opportunity/83,contact83@sampleorg.example,2026-09-04,Closed
84,UI/UX Opportunity 84,TechSampleOrg84,Research Internship,UI/UX,Research Internship in UI/UX for student development,8.0,NA,1,All,UG,18,NA,India,Any,Research|C,JavaScript|SQL,Research|C,Communication|Teamwork|Problem Solving,None,NA,No,India,Hyderabad,Remote,2026-12-03,2027-03-27,2026-10-22,1 Months,NA,NA,Certificate|Mentorship,Yes,Yes,Yes,High,https://sample-opportunities.example/opportunity/84,contact84@sampleorg.example,2026-09-04,Open
85,Research Opportunity 85,TechSampleOrg85,Scholarship,Research,Scholarship in Research for student development,NA,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,International,Any,Data Analysis|C++,HTML|Git,Data Analysis|C++,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,Yes,Online,NA,On-site,2026-12-04,2027-03-29,2026-10-22,2 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,No,Medium,https://sample-opportunities.example/opportunity/85,contact85@sampleorg.example,2026-09-04,Upcoming
86,Entrepreneurship Opportunity 86,TechSampleOrg86,Fellowship,Entrepreneurship,Fellowship in Entrepreneurship for student development,6.0,NA,3|4,All Engineering,BTech|BE,18,NA,Any,Any,Python|Java,CSS|GitHub,Python|Java,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,No,International,Bengaluru,Hybrid,2026-12-05,2027-03-31,2026-10-23,3 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,Low,https://sample-opportunities.example/opportunity/86,contact86@sampleorg.example,2026-09-04,Closed
87,Sustainability Opportunity 87,TechSampleOrg87,Hackathon,Sustainability,Hackathon in Sustainability for student development,7.0,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,India,Any,C|JavaScript,SQL|DSA,C|JavaScript,Communication|Teamwork|Problem Solving,None,NA,Yes,India,Delhi,Online,2026-12-06,2027-04-02,2026-10-23,4 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,High,https://sample-opportunities.example/opportunity/87,contact87@sampleorg.example,2026-09-04,Open
88,Competitive Programming Opportunity 88,TechSampleOrg88,Competition,Competitive Programming,Competition in Competitive Programming for student development,7.5,NA,1,All,UG,18,NA,International,Any,C++|HTML,Git|Algorithms,C++|HTML,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,No,Online,Mumbai,Remote,2026-12-07,2027-04-04,2026-10-24,5 Months,NA,NA,Certificate|Mentorship,Yes,Yes,No,Medium,https://sample-opportunities.example/opportunity/88,contact88@sampleorg.example,2026-09-04,Upcoming
89,Artificial Intelligence Opportunity 89,TechSampleOrg89,Grant,Artificial Intelligence,Grant in Artificial Intelligence for student development,8.0,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,Any,Any,Java|CSS,GitHub|Machine Learning,Java|CSS,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,Yes,International,Hyderabad,On-site,2026-12-08,2027-04-06,2026-10-24,6 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,No,Low,https://sample-opportunities.example/opportunity/89,contact89@sampleorg.example,2026-09-04,Closed
90,Machine Learning Opportunity 90,TechSampleOrg90,Exchange Program,Machine Learning,Exchange Program in Machine Learning for student development,NA,NA,3|4,All Engineering,BTech|BE,18,NA,India,Any,JavaScript|SQL,DSA|Deep Learning,JavaScript|SQL,Communication|Teamwork|Problem Solving,None,NA,No,India,NA,Hybrid,2026-12-09,2027-04-08,2026-10-25,7 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,High,https://sample-opportunities.example/opportunity/90,contact90@sampleorg.example,2026-09-04,Open
91,Data Science Opportunity 91,TechSampleOrg91,Certification,Data Science,Certification in Data Science for student development,6.0,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,International,Any,HTML|Git,Algorithms|Artificial Intelligence,HTML|Git,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,Yes,Online,Bengaluru,Online,2026-12-10,2027-04-10,2026-10-25,8 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,Medium,https://sample-opportunities.example/opportunity/91,contact91@sampleorg.example,2026-09-04,Upcoming
92,Web Development Opportunity 92,TechSampleOrg92,Apprenticeship,Web Development,Apprenticeship in Web Development for student development,7.0,NA,1,All,UG,18,NA,Any,Any,CSS|GitHub,Machine Learning|Data Science,CSS|GitHub,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,No,International,Delhi,Remote,2026-12-11,2027-04-12,2026-10-26,9 Months,NA,NA,Certificate|Mentorship,Yes,Yes,Yes,Low,https://sample-opportunities.example/opportunity/92,contact92@sampleorg.example,2026-09-04,Closed
93,Mobile Development Opportunity 93,TechSampleOrg93,Training Program,Mobile Development,Training Program in Mobile Development for student development,7.5,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,India,Any,SQL|DSA,Deep Learning|Statistics,SQL|DSA,Communication|Teamwork|Problem Solving,None,NA,Yes,India,Mumbai,On-site,2026-12-12,2027-04-14,2026-10-26,10 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,No,High,https://sample-opportunities.example/opportunity/93,contact93@sampleorg.example,2026-09-04,Open
94,Software Engineering Opportunity 94,TechSampleOrg94,Entrepreneurship Program,Software Engineering,Entrepreneurship Program in Software Engineering for student development,8.0,NA,3|4,All Engineering,BTech|BE,18,NA,International,Any,Git|Algorithms,Artificial Intelligence|Pandas,Git|Algorithms,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,No,Online,Hyderabad,Hybrid,2026-12-13,2027-04-16,2026-10-27,11 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,Medium,https://sample-opportunities.example/opportunity/94,contact94@sampleorg.example,2026-09-04,Upcoming
95,Cybersecurity Opportunity 95,TechSampleOrg95,Workshop,Cybersecurity,Workshop in Cybersecurity for student development,NA,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,Any,Any,GitHub|Machine Learning,Data Science|NumPy,GitHub|Machine Learning,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,Yes,International,NA,Online,2026-12-14,2027-04-18,2026-10-27,12 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,Low,https://sample-opportunities.example/opportunity/95,contact95@sampleorg.example,2026-09-04,Closed
96,Cloud Computing Opportunity 96,TechSampleOrg96,Open Source Program,Cloud Computing,Open Source Program in Cloud Computing for student development,6.0,NA,1,All,UG,18,NA,India,Any,DSA|Deep Learning,Statistics|TensorFlow,DSA|Deep Learning,Communication|Teamwork|Problem Solving,None,NA,No,India,Bengaluru,Remote,2026-12-15,2027-04-20,2026-10-28,1 Months,NA,NA,Certificate|Mentorship,Yes,Yes,No,High,https://sample-opportunities.example/opportunity/96,contact96@sampleorg.example,2026-09-04,Open
97,DevOps Opportunity 97,TechSampleOrg97,Government Internship,DevOps,Government Internship in DevOps for student development,7.0,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,International,Any,Algorithms|Artificial Intelligence,Pandas|PyTorch,Algorithms|Artificial Intelligence,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,Yes,Online,Delhi,On-site,2026-12-16,2027-04-22,2026-10-28,2 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,Yes,Medium,https://sample-opportunities.example/opportunity/97,contact97@sampleorg.example,2026-09-04,Upcoming
98,Blockchain Opportunity 98,TechSampleOrg98,Government Scholarship,Blockchain,Government Scholarship in Blockchain for student development,7.5,NA,3|4,All Engineering,BTech|BE,18,NA,Any,Any,Machine Learning|Data Science,NumPy|NLP,Machine Learning|Data Science,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,No,International,Mumbai,Hybrid,2026-12-17,2027-04-24,2026-10-29,3 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,Low,https://sample-opportunities.example/opportunity/98,contact98@sampleorg.example,2026-09-04,Closed
99,Robotics Opportunity 99,TechSampleOrg99,Government Fellowship,Robotics,Government Fellowship in Robotics for student development,8.0,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,India,Any,Deep Learning|Statistics,TensorFlow|Computer Vision,Deep Learning|Statistics,Communication|Teamwork|Problem Solving,None,NA,Yes,India,Hyderabad,Online,2026-12-18,2027-04-26,2026-10-29,4 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,High,https://sample-opportunities.example/opportunity/99,contact99@sampleorg.example,2026-09-04,Open
100,Internet of Things Opportunity 100,TechSampleOrg100,Government Program,Internet of Things,Government Program in Internet of Things for student development,NA,NA,1,All,UG,18,NA,International,Any,Artificial Intelligence|Pandas,PyTorch|Cybersecurity,Artificial Intelligence|Pandas,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,No,Online,NA,Remote,2026-12-19,2027-04-28,2026-10-30,5 Months,NA,NA,Certificate|Mentorship,Yes,Yes,No,Medium,https://sample-opportunities.example/opportunity/100,contact100@sampleorg.example,2026-09-04,Upcoming
101,Computer Vision Opportunity 101,CommunitySampleOrg101,Government Research Program,Computer Vision,Government Research Program in Computer Vision for student development,6.0,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,Any,Any,Data Science|NumPy,NLP|Linux,Data Science|NumPy,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,Yes,International,Bengaluru,On-site,2026-12-20,2027-04-30,2026-10-30,6 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,No,Low,https://sample-opportunities.example/opportunity/101,contact101@sampleorg.example,2026-09-04,Closed
